ascaris_suum_prjna62057_core_16_101_1	ascaris_suum_core_54_107_1
hymenolepis_microstoma_prjeb124_core_16_101_1	hymenolepis_microstoma_core_54_107_1
necator_americanus_prjna72135_core_16_101_1	necator_americanus_core_54_107_1
schistosoma_mansoni_prjea36577_core_16_101_1	schistosoma_mansoni_core_54_107_1
