AL032669	2L52
AC006644	F55A3
U67949	F55A4
AF067612	F55A8
Z72511	F55A11
AF003130	F55A12
Z83318	F55B11
Z79757	F55B12
Z78198	F55C5
U80436	F55C7
Z81549	F55C9
Z74036	F55C10
U41107	F55C12
U49942	F55D1
U40948	F55D10
Z75542	F55D12
U23455	F55E10
U58744	F55F1
Z81550	F55F3
U80447	F55F8
AF067621	F55F10
U58750	F55G1
Z50741	F55G7
Z82272	F55G11
Z27080	F55H2
Z81091	F55H12
U80446	F56A3
AC006645	F56A4
AF067217	F56A6
Z83230	F56A8
AF038619	F56A11
Z81551	F56A12
AF045646	F56B3
U64599	F56B6
AF067214	F56C3
Z70285	F56C4
U00063	F56C9
AF043697	F56C11
U39997	F56D1
U13644	F56D2
U28942	F56D3
Z69662	F56D5
AF067613	F56D6
AF016672	F56D12
U41536	F56E3
AF101312	F56E10
Z32681	F56F3
AF003146	F56F4
U51993	F56F10
AF099922	F56F11
Z82273	F56F12
Z81552	F56G4
AF067618	F56H1
Z81553	F56H6
Z74473	F56H9
Z68749	F56H11
Z73909	F57A5
Z70781	F57A8
Z96048	F57A10
Z78064	F57B1
Z74037	F57B7
U13876	F57B9
AF039713	F57B10
Z83110	F57C2
Z69646	F57C7
AF003142	F57C9
U41554	F57C12
AL021386	F57E7
U70856	F57F4
Z75953	F57F5
U23175	F57F10
Z81554	F57G4
Z83111	F57G8
Z83231	F57G9
Z67736	F57G12
AF045644	F57H12
Z81017	F58A3
Z22179	F58A4
U53339	F58A6
Z73427	F58B3
Z74038	F58B4
AF106580	F58B6
Z81093	F58D2
AL137227	F58D5
AF016434	F58D7
Z81092	F58D12
AF098995	F58E1
AF100659	F58E2
Z70754	F58E6
Z81555	F58E10
AF036699	F58F6
U58756	F58F9
U23170	F58F12
Z81556	F58G1
U50309	F58G4
Z68217	F58G6
Z81094	F58G11
Z75954	F58H1
AF045643	F58H7
Z79697	F58H10
U40416	F58H12
Z81557	F59A1
Z34801	F59A2
U80448	F59A3
U41994	F59A6
AF016425	F59A7
AF067943	F59B1
Z11505	F59B2
Z68343	F59B8
Z48716	F59B10
Z79600	F59C6
U41038	F59C12
AF016435	F59D6
AC024137	F59D8
Z81558	F59D12
Z36949	F59E10
AF016685	F59E11
AF003386	F59E12
Z68005	F59F3
Z81095	F59F4
Z50794	F59F5
U53332	F59G1
AF098991	F59H5
AC006648	F59H6
AL021387	H01A20
Z92847	H01G02
AF067620	H01M01
AC006649	H01M10
AF077538	H02F09
Z92789	H02I12
AL023813	H02K04
Z93239	H03A11
U67947	H03E18
AF067939	H03G13
Z92790	H03G16
AL021171	H04D03
AF101308	H04D19
AF040644	H04J21
AF125442	H04M03
AF068717	H05B21
AF099918	H05C05
Z97190	H05G16
AC006650	H05L03
Z99772	H05L14
AF067951	H05O09
Z99773	H06A10
AF099920	H06H21
AC006651	H06I04
Z94122	H06I04
Z93779	H06K08
AF125957	H06N16
Z92970	H06O01
AF077543	H07I21
AF100658	H08G01
AC024138	H08J11
AL023814	H08J19
Z93384	H08M01
AC006653	H08M21
Z95391	H09F14
AF099923	H09G03
AC006654	H09I01
AF038620	H10D12
AC006655	H10D18
AF078783	H10E21
AF078783	H10E21
AL008585	H10E24
AF067222	H11E01
AF106578	H11L12
AF106578	H11L12
AL022272	H12C20
Z92849	H12D21
AC006656	H12I13
Z98851	H12I19
AC006657	H12N23
AC024139	H13J03
Z99942	H13N06
AF025459	H14A12
AF125448	H14E04
AF068719	H14N18
Z92793	H15M21
Z96100	H15N14
AL031624	H16D19
AC006659	H16O14
AF040646	H17B01
AC006660	H18N23
AL009170	H19J13
AF040648	H19M22
Z92835	H19N07
AF100661	H20E11
AF068715	H20H17
AC006661	H20J04
AL023493	H20J18
AL031623	H21M04
Z95619	H21P03
AF039034	H22D07
AL022273	H22D14
AF077544	H22K11
AC006662	H23L24
AC006662	H23L24
AF125959	H23N18
AL022274	H24D24
AF101309	H24G06
AF101309	H24G06
AC006663	H24K24
AC006664	H24O09
Z92796	H25K10
Z92797	H25P06
AF125972	H25P19
AF106587	H26D21
Z95392	H27A22
AL022473	H27C11
AF067950	H27D07
AC006665	H27M09
AF101311	H27O22
AF098501	H28G03
AL023815	H28O16
AF098506	H29C22
AL008869	H30A04
AL021066	H31B20
AC006666	H31G24
AF125443	H32C10
AF067941	H32I14
Z97191	H32K16
AL021147	H32K21
AC006667	H33H01
AF100662	H34C03
AF078784	H34I24
AF078782	H34P18
AF100660	H35B03
AF098990	H35N03
AF098503	H35N09
Z95309	H36L18
AF106585	H36N01
AL021346	H37A05
AL008986	H37N21
AL024499	H38K22
AF098502	H39E20
Z96102	H39E23
Z93339	H40D05
Z95310	H40L08
AF077545	H41C03
AF106586	H41F22
AF026207	H42K12
AC006669	H43E16
AF125965	H43I07
Z82274	JC8
AF099925	K01A2
Z68750	K01A6
Z66514	K01A11
U23183	K01A12
Z22174	K01B6
U97195	K01B10
Z49068	K01C8
Z75543	K01D12
Z22175	K01F9
Z92803	K01G5
Z82275	K01G12
Z68218	K01H12
U23171	K02A2
Z67883	K02A4
U29613	K02A6
Z75544	K02A11
U41558	K02B2
Z83112	K02B7
Z69663	K02B9
Z75711	K02B12
Z47811	K02C4
Z70209	K02D3
AF045645	K02D7
L14710	K02D10
Z81560	K02E2
AF025465	K02E7
U40942	K02E10
Z77665	K02E11
AF043699	K02F2
U00052	K02F3
AF016670	K02F6
U40415	K02G10
U67957	K02H8
AF068720	K02H11
U41625	K03A1
Z77133	K03A11
U55370	K03B4
Z74039	K03B8
U40059	K03C7
Z82276	K03D3
Z81562	K03D7
Z81561	K03D10
AF067619	K03E5
U55375	K03E6
U00053	K03F8
Z29560	K03H1
Z81096	K03H4
AF047658	K03H6
U21318	K03H9
U64849	K04A8
Z83232	K04B12
Z70267	K04C1
U00044	K04C2
Z69664	K04D7
U39666	K04E7
AF106575	K04F1
AF039719	K04F10
Z75712	K04G2
U21320	K04G7
Z78544	K04G11
Z27078	K04H4
Z81563	K04H8
U29379	K05B2
Z81564	K05C4
Z92804	K05D4
U29377	K05F1
AF040653	K05F6
U41539	K05G3
U23449	K06A1
Z70755	K06A4
AF039038	K06A5
U80846	K06A9
Z83233	K06B4
U50072	K06B9
U64843	K06C4
Z81565	K06G5
AF024500	K06H6
L15314	K06H7
Z81097	K07A1
AC006670	K07A3
AF099924	K07A9
Z81098	K07A12
AF003384	K07B1
Z71181	K07C5
AF039049	K07C6
Z47074	K07C10
U53336	K07C11
AF077534	K07D4
L16679	K07D8
U23173	K07E1
U41552	K07E3
AF016678	K07E8
U00054	K07E12
Z70284	K07F5
Z71264	K07G5
AF125444	K07G6
AF047659	K07H8
AC006671	K08A2
U38377	K08A8
AF100663	K08B4
U41022	K08B5
U97001	K08B12
Z70286	K08C7
Z81567	K08C9
Z73104	K08D8
AF101319	K08D9
U55857	K08D10
AC006672	K08D12
Z81568	K08E3
Z68316	K08E4
Z30974	K08E5
Z77666	K08E7
Z68879	K08F4
Z66497	K08F8
Z81099	K08F9
U70855	K08F11
Z81100	K08G2
Z70210	K08H2
Z83113	K08H10
Z79601	K09A9
Z50742	K09A11
U70847	K09B3
Z83114	K09B11
U43375	K09C4
AF022975	K09C6
Z68006	K09C8
AC006673	K09D9
U23527	K09E2
U41033	K09E3
Z83234	K09E4
Z79602	K09E9
AF003149	K09E10
AF003149	K09E10
U37430	K09F5
AF016683	K09F6
Z81101	K09G1
AF043700	K09H9
U97002	K09H11
U28730	K10B2
U49941	K10B3
AF025463	K10B4
U39852	K10C2
Z83235	K10C3
Z74474	K10C8
AF067944	K10C9
U21322	K10D2
Z75545	K10D3
Z74040	K10D6
Z81146	K10D11
AF067218	K10E9
AF025462	K10F12
Z92806	K10G4
AF016669	K10G6
Z36282	K10G9
Z83236	K10H10
Z81569	K11B4
U64854	K11C4
Z83115	K11D2
U53152	K11D5
Z92807	K11D9
AF039047	K11D12
Z70211	K11E4
Z70279	K11E8
U64853	K11G9
U23525	K11G12
Z22180	K11H3
U88168	K11H12
AF016442	K12B6
AF043701	K12C11
U80030	K12D9
Z49069	K12D12
Z78199	K12F2
Z81570	K12G11
L14331	K12H4
AC006674	K12H6
Z82277	LLC1
Z27081	M01A8
U88174	M01A10
U88166	M01A12
Z83116	M01B2
AF067624	M01B12
AF025461	M01D1
AF003739	M01D7
Z93385	M01E5
AF099921	M01E10
U80450	M01E11
Z46381	M01F1
AF067938	M01F7
U23512	M01G4
AF078786	M01G5
Z81571	M01G12
U70853	M01H9
U58730	M02A10
Z81102	M02B1
U70851	M02B7
U41034	M02D8
U67948	M02E1
U41548	M02F4
Z81573	M02G9
AF036697	M02G12
AC006675	M02H5
U49956	M03A1
U41544	M03A8
Z78545	M03B6
Z49128	M03C11
U61955	M03D4
U58764	M03E7
U64601	M03F4
AF016441	M03F8
AF100670	M4
Z77667	M04B2
Z92808	M04C3
Z83117	M04C7
Z83731	M04C9
Z83118	M04D5
Z32682	M04D8
AC006676	M04F3
AF036700	M04G7
Z81103	M04G12
Z71265	M05B5
Z66523	M05D6
U56860	M6
Z68337	M7
Z68507	M18
Z49911	M28
AF100664	M57
U39995	M60
AF047661	M70
Z50806	M79
Z34802	M88
Z46935	M106
Z49968	M110
AF038621	M116
Z73910	M117
Z73428	M142
AF024502	M151
Z67995	M153
Z82278	M162
Z79603	M163
Z78412	M176
Z66498	M195
Z81104	M199
U00025	PAR2
U00026	PAR3
U00026	PAR3
U40944	PDB1
AF068718	R01B10
Z68118	R01E6
U00035	R01H2
Z68007	R01H5
Z31590	R01H10
AF039037	R02C2
AF024495	R02D1
AF038615	R02D3
Z78015	R02D5
U40957	R02E4
U53337	R02E12
U00055	R02F2
AF016439	R02F11
Z69793	R03A10
Z82279	R03C1
Z46828	R03D7
Z92837	R03E1
U40947	R03E9
U51994	R03G5
Z69794	R03G8
U50300	R03H4
U29382	R03H10
U41550	R04A9
U50198	R04B3
Z70782	R04B5
Z70212	R04D3
U41538	R04E5
Z74475	R04F11
Z82280	R05A10
AF125446	R05C11
L07144	R05D3
Z81105	R05D7
AC006677	R05D8
Z75546	R05D11
U41533	R05F9
U58746	R05G6
AC006678	R05G9
AC024741	R05G9R
Z48795	R05H5
Z83119	R05H10
U00056	R05H11
Z83120	R06A4
AF039715	R06A10
Z83237	R06B9
AF040654	R06B10
Z81106	R06C1
Z71266	R06C7
Z46794	R06F6
Z67756	R07A4
Z48621	R07B1
Z72512	R07B5
Z75955	R07B7
AF016686	R07C3
AF038622	R07C12
Z70685	R07D5
Z49207	R07E3
U39652	R07E4
Z32683	R07E5
U23452	R07G3
Z81107	R07H5
Z98853	R08A2
Z68008	R08B4
U61953	R08C7
Z12017	R08D7
U41027	R08E3
U97004	R08E5
AF003385	R08F11
Z81575	R08H2
AF068711	R09A1
Z68009	R09A8
Z81108	R09B3
AF039046	R09B5
Z70035	R09D1
Z70287	R09E10
AF016422	R09E12
U64859	R09F10
U46670	R09G11
U58740	R09H3
Z77134	R09H10
U80449	R10A10
Z81109	R10D12
Z50874	R10E4
Z81576	R10E8
Z35601	R10E9
Z29095	R10E11
Z29561	R10E12
AF003388	R10F2
U23174	R10H1
Z70686	R10H10
Z81577	R11
Z83122	R11A5
Z70310	R11A8
U42831	R11B5
Z75547	R11D1
AF100669	R11E3
U38378	R11F4
U41016	R11G1
Z77668	R11G10
AF022976	R11G11
Z93386	R11H6
AF016680	R12A1
U00066	R12B2
U23510	R12C12
AF067219	R12E2
Z93782	R12G8
Z50755	R12H7
Z73105	R13
U40798	R13A1
AC006679	R13A5
AC006680	R13D7
AF022983	R13D11
U00046	R13F6
Z35602	R13G10
Z81579	R13H4
U61956	R13H7
AF039717	R13H8
AC006681	R13H9
Z92809	R17
Z75956	R31
AF025471	R52
Z66515	R53
U88179	R57
Z36238	R74
Z75548	R90
Z70309	R102
U53334	R105
U64860	R106
Z14092	R107
AF063007	R119
Z48007	R134
U23515	R144
AF025467	R148
U00036	R151
U28729	R153
AF003390	R155
AF099001	R160
Z50795	R166
U39743	R173
Z78016	R186
AC006682	R193
U41530	SSSD1
AF106591	T01A4
Z70036	T01B4
U67950	T01B6
Z66499	T01B7
U97551	T01B10
U80931	T01B11
Z68010	T01C1
AC006683	T01C2
Z78413	T01C3
U70858	T01C4
U58726	T01C8
U80455	T01D1
Z81110	T01D3
Z48809	T01E8
Z92811	T01G1
Z81111	T01G5
AF022978	T01G6
Z75713	T01G9
Z68317	T01H3
Z80219	T01H8
Z67737	T01H10
Z81112	T02B5
AF022979	T02B11
Z19156	T02C1
U55374	T02C5
Z35603	T02C12
Z83319	T02D1
Z81581	T02E1
Z93387	T02E9
U41105	T02G5
Z81583	T02G6
AC006684	T02H6
AF067614	T03A1
AF022980	T03D3
Z92838	T03D8
Z92812	T03E6
U88169	T03F1
Z81113	T03F6
Z74041	T03F7
U40940	T03G6
U41272	T03G11
U00042	T04A6
Z35663	T04A8
Z83123	T04A11
Z68299	T04B2
AF040650	T04B8
AF099927	T04C4
U80955	T04C9
Z69885	T04C10
Z81584	T04C12
AF067617	T04D1
Z81114	T04D3
Z72513	T04F3
Z66565	T04F8
U41274	T04G9
Z78200	T04H1
Z68219	T05A1
Z50796	T05A6
U40028	T05A7
AF040652	T05A8
Z68108	T05A10
U41010	T05A12
AF016445	T05B4
Z49129	T05B9
U53151	T05B11
U28992	T05C1
AF016428	T05C3
AF067615	T05C7
Z66500	T05C12
Z81115	T05D4
AF003150	T05E7
U97014	T05E8
Z68751	T05E11
Z81585	T05E12
Z81586	T05F1
Z27079	T05G5
AL023816	T05G11
AF016452	T05H4
Z47812	T05H10
AF068710	T06A1
AF098994	T06A4
AF099926	T06A10
AF099926	T06A10
U41013	T06C10
Z81116	T06C12
AF016673	T06D4
Z49130	T06D8
AL110471	T06D10
Z70756	T06E4
Z81117	T06E6
Z73975	T06E8
U41551	T06F4
Z81587	T06G6
Z49889	T06H11
Z48055	T07A5
AF036706	T07A9
Z29443	T07C4
Z50006	T07C5
Z73976	T07C12
U41531	T07D1
AF016682	T07D3
Z50071	T07D4
Z81588	T07D10
U13643	T07E3
U80954	T07F8
Z77669	T07F10
U29154	T07F12
Z82282	T07G12
AF077540	T07H3
U53344	T07H6
AF067945	T07H8
U40417	T08A9
Z50875	T08A11
AF039039	T08B1
AF000263	T08B2
AF038623	T08B6
Z92839	T08D2
Z50756	T08D10
AF077546	T08E11
U42838	T08G2
Z83238	T08G3
Z81589	T08G5
Z80220	T08G11
U39470	T08H4
U55368	T08H10
Z36753	T09A5
AF047660	T09A12
U97405	T09B4
Z47070	T09B9
U64835	T09D3
Z78065	T09E8
Z81147	T09E11
Z49070	T09F3
Z83239	T09F5
AF068712	T09H2
U41035	T10A3
U51996	T10B1
AF067947	T10B5
Z48717	T10B9
Z72514	T10B10
AF098993	T10B11
Z93388	T10C6
AF098997	T10D4
U97403	T10E9
U39644	T10E10
U23412	T10F2
Z81118	T10G3
Z81119	T10H4
AF067949	T10H9
U80848	T10H10
Z72515	T11A5
Z54237	T11B7
AF098996	T11F1
AF036703	T11F8
Z74042	T11F9
Z69384	T11G6
U13019	T12A2
Z73911	T12A7
AF125960	T12B3
AF100307	T12B5
U41104	T12C9
Z81120	T12D8
U61944	T12E12
AF039718	T12F5
Z68752	T12G3
U56963	T13A10
AF026211	T13B5
U40030	T13C2
U39648	T13C5
AF039714	T13E5
Z81121	T13E8
Z81122	T13F2
Z93389	T13F3
AC006685	T13G4
U39653	T13H2
Z66524	T13H5
Z69361	T13H10
U50066	T14A8
Z46829	T14B1
U50191	T14B4
Z70687	T14C1
Z81123	T14D7
U41036	T14E8
U50199	T14F9
Z67884	T14G8
Z68880	T14G10
U41024	T14G11
U41268	T14G12
AF022985	T15B7
U14634	T15B12
Z83125	T15D6
Z50015	T15G9
Z47356	T15H9
U80454	T16A1
Z77135	T16A9
U39471	T16D1
Z81592	T16G1
Z30317	T16G12
AF063009	T16H5
Z30662	T16H12
AF078787	T17A3
AL021570	T17B5
U11280	T17E9
U42841	T17H7
Z68119	T18D3
U41746	T18H9
U53153	T19A5
AL021571	T19A6
U80438	T19B4
Z74043	T19B10
U28412	T19C3
Z75549	T19C4
Z92972	T19C9
Z37979	T19C11
U42846	T19D2
U56961	T19D7
U41263	T19D12
U42843	T19E7
Z46795	T19E10
U55371	T19F4
Z47745	T19H5
U97009	T19H12
Z81593	T20B3
U28742	T20B5
AF000193	T20B6
U10401	T20B12
AF125958	T20C4
AC006687	T20C7
Z68220	T20D3
U80029	T20D4
U80442	T20F5
U97550	T20F7
Z81594	T20F10
Z30423	T20G5
U00037	T20H4
AF040657	T20H9
AF016667	T20H12
Z81124	T21B4
Z68011	T21B6
Z68318	T21B10
Z73098	T21C9
Z50016	T21C12
U40937	T21D9
U00038	T21D11
AF016687	T21D12
AF003133	T21E3
Z70268	T21E8
U80440	T21E12
U42836	T21F2
U56959	T21F4
AF000197	T21G5
AF016429	T21H3
Z78546	T21H8
Z81125	T22A3
AF047662	T22B2
Z68300	T22B3
U64608	T22B7
AF039040	T22B11
Z75550	T22C1
Z49071	T22C8
AF039052	T22D1
AC006688	T22D2
U43282	T22E5
Z81126	T22E6
AC006689	T22E7
U64844	T22F3
U13071	T22F7
Z81127	T22G5
Z81595	T22H2
Z50797	T22H6
AF101315	T22H9
U50065	T23A7
U88309	T23B3
Z93390	T23B5
U50192	T23B7
AF022982	T23B12
AF000191	T23C6
Z82051	T23D5
Z81128	T23D8
AF047665	T23E1
AF026205	T23E7
Z81129	T23F1
U39649	T23F2
AF025466	T23F4
Z83127	T23F6
Z46343	T23F11
Z82283	T23G4
Z19158	T23G5
Z68319	T23G7
Z81130	T23G11
U80033	T23H2
Z83240	T23H4
AF068713	T24A6
Z49072	T24A11
Z84712	T24B1
Z68338	T24B8
Z68120	T24C2
AF100306	T24C4
U41037	T24C12
Z81131	T24D1
Z68121	T24D3
Z68012	T24D5
U40422	T24D8
U49940	T24D11
AF040655	T24E12
Z49912	T24F1
AC006690	T24F3
AC006690	T24F3
U00057	T24G10
AC006691	T24H5
U28940	T24H7
Z54216	T24H10
AF067213	T25B2
U41546	T25B6
Z70311	T25B9
Z83241	T25C8
Z66566	T25C12
U41275	T25D1
AF077539	T25D3
U28409	T25D10
U23411	T25E4
Z82052	T25E12
U64856	T25F10
Z72516	T25G3
U43283	T25G12
U00043	T26A5
U46674	T26A8
Z50859	T26C5
U41017	T26C11
AF067623	T26C12
Z82053	T26E3
Z81132	T26E4
Z82054	T26F2
Z29115	T26G10
Z82055	T26H2
Z82056	T26H5
Z82057	T26H8
Z74044	T26H10
AF025468	T27A1
U88180	T27A3
Z68134	T27A8
U58734	T27A10
U41020	T27B1
U53179	T27B2
AF016675	T27B7
AF067948	T27C4
Z82058	T27C5
AF098504	T27C10
Z48245	T27D1
Z70037	T27D12
U64837	T27E4
Z82284	T27E7
Z82059	T27E9
Z74045	T27F2
Z82060	T27F6
U58762	T27F7
Z92813	T28A8
U80027	T28A11
AF026206	T28B4
Z81133	T28B8
Z73977	T28B11
Z54238	T28C6
AF016679	T28C12
Z81134	T28D6
U28738	T28D9
AF000198	T28F2
Z82285	T28F3
Z72517	T28F4
AC006692	T28F12
Z75551	T28H10
U64609	T28H11
Z83242	VB0365
AL021467	VB0391R
AL110472	VB0393L
Z98261	VC01H6R
AF106581	VC5
Z95621	VC27A7L
Z78017	VC50H2R
Z84713	VD1046R
AL023817	VF11C1L
AL033535	VF13D12L
AL009066	VF13E6L
Z98262	VF15C11L
AL031267	VF23B12L
AL021466	VF36H2L
AL032667	VF37H8L
AL033537	VF38E11R
Z97628	VF39H2L
AL031264	VF45E10L
Z83016	VF46C5
Z80224	VF54F7L
AL033124	VH15N14R
AL031265	VK04G11
Z94800	VK08D8
AL021173	VK10D6R
Z99268	VM02G9R
AL031266	VM106R
AL031268	VT21B10L
Z95622	VT22E6R
AL032675	VT23B5
Z83017	VW01C9
AL031269	VW02B12L
AL032678	VW06B3R
Z95122	VZC374L
Z95123	VZK822L
Z71267	W01A8
U64852	W01A11
Z68301	W01B6
AF043704	W01B11
U41508	W01C8
Z49969	W01C9
Z83128	W01D2
Z92815	W01F3
Z81135	W01G7
AF000192	W01H2
U55773	W01H5
Z82286	W02A2
Z82062	W02A11
U22833	W02B3
Z81136	W02B8
Z82064	W02B9
Z66521	W02B12
U80815	W02C12
AF003141	W02D3
AF014940	W02D7
Z81137	W02D9
AF047653	W02F12
AF067946	W02G9
Z68013	W02H3
AC006693	W02H5
U50184	W03A3
U00058	W03A5
U58753	W03B1
Z66516	W03C9
AF000298	W03D2
AF043702	W03D8
AF039041	W03F8
AF022981	W03F9
AF003135	W03F11
AF125964	W03G1
AF039716	W03G9
Z67738	W03G11
U41509	W03H1
Z82067	W03H9
Z82068	W04A4
Z82069	W04A8
AF100305	W04B5
AF098999	W04C9
Z75552	W04D2
U00068	W04D12
Z82070	W04E12
Z68014	W04G3
Z93391	W04G5
AF040651	W04H10
Z81138	W05B2
Z82071	W05B5
Z74476	W05B10
AC006694	W05D2
AF100672	W05E7
Z77670	W05E10
AF106582	W05F2
AF040660	W05G11
Z81139	W05H5
U97552	W05H7
U40946	W05H9
Z82072	W05H12
Z78066	W06A7
U41106	W06A11
AL022275	W06B3
U23522	W06B4
U39854	W06B11
AL034364	W06D4
Z69718	W06D11
Z82073	W06D12
U20862	W06E11
Z83244	W06F12
Z83129	W06G6
AL021572	W06H3
AC006695	W06H8
Z82074	W06H12
Z82075	W07A8
Z68320	W07A12
AF100304	W07B3
AF016426	W07B8
AF106576	W07E6
Z49868	W07E11
Z82076	W07G1
Z78018	W07G4
AF040658	W07G9
U97010	W08A12
Z70271	W08D2
Z92773	W08E3
AC006696	W08E12
AF000266	W08F4
Z92817	W08G11
AF025469	W09B6
AC006697	W09B7
U58731	W09B12
U58731	W09B12
Z68221	W09C2
U88178	W09C3
Z82077	W09C5
Z82078	W09D6
Z93785	W09D10
Z78414	W09D12
Z82079	W09E7
Z82080	W09G3
AF016671	W09G10
AF047663	W09G12
Z82081	W09H1
AC006698	W10C4
Z99269	W10C6
AF043703	W10C8
Z79758	W10D5
AF025470	W10D9
Z81140	W10G6
AF040661	W10G11
AL021177	Y1A5A
AC024752	Y1B5A
AL023831	Y1E3A
AC006731	Y2C2A
AL021448	Y2H9A
AC006791	Y4C6A
AF125971	Y4C6B
AL032641	Y5F2A
AC006809	Y5H2A
AC006810	Y5H2B
AL032650	Y6B3A
AL032655	Y6B3B
AL032651	Y6D1A
AL023852	Y6D6A
AC006815	Y6D11A
AL021175	Y6E2A
Z92973	Y6G8
AL034489	Y7A5A
Z99284	Y7A9A
Z99285	Y7A9B
Z99286	Y7A9C
Z99287	Y7A9D
AF100303	Y7G10A
AF125461	Y8A9A
AF040656	Y8G1A
AL008881	Y9C2UA
AC024882	Y9C9A
AC006829	Y9C12A
AF125460	Y9D1A
AL161711	Y10G11A
AL032632	Y11D7A
AL023827	Y12A6A
AC006716	Y13C8A
AC006717	Y14H12A
AF125447	Y14H12B
AL132841	Y15E3A
AL023825	Y16B4A
AC024749	Y16E11A
AL021470	Y17D7A
AL021472	Y17D7B
AL021471	Y17D7C
AL021172	Y17G7A
AL023828	Y17G7B
AC024750	Y17G9A
AC006720	Y17G9B
AL034393	Y18D10A
AC024751	Y18H1A
AL023832	Y19D2B
AC006722	Y19D10A
AC006723	Y19D10B
AL021473	Y20C6A
AC093703	Y20F4
AL023833	Y21F11A
AC084153	Y22D7AL
AC084154	Y22D7AR
AL021479	Y22F5A
AL021478	Y22F5B
AC006726	Y23B4A
AC006728	Y23H5A
AF077541	Y23H5A
AC024753	Y23H5B
AC006729	Y24D9A
AF125445	Y24D9B
AL023829	Y24E3A
AL110480	Y24F12A
AF125459	Y25C1A
AL110478	Y26D4A
AL023830	Y26E6A
Z98860	Y26G10
AC006730	Y27F2A
AL023834	Y32B12A
AL031632	Y32B12B
AL031634	Y32B12C
AL021474	Y32F6A
AL021475	Y32F6B
AC087794	Y32G9A
AC024754	Y32G9B
AC006733	Y32H12A
AC024755	Y34B4A
AC024756	Y34D9A
AC006736	Y34D9B
AC087078	Y34F4
AC087735	Y35H6
AL032620	Y36E3A
Z99270	Y37A1A
AL023835	Y37A1B
AL021476	Y37A1C
AC091267	Y37B11A
AL032626	Y37D8A
AC087079	Y37E3
AC024757	Y37E11AL
AC024758	Y37E11AM
AC024759	Y37E11AR
AC006739	Y37E11B
AF125451	Y37E11B
AC006737	Y37E11C
AC098856	Y37F4
AL132863	Y37H2A
AL023836	Y37H2B
AL023837	Y37H2C
AL032625	Y37H9A
U55855	Y38A8
AF125963	Y38A10A
AC024760	Y38B5A
AC024761	Y38C1AA
AC006742	Y38C1AB
AC006743	Y38C1BA
AF125969	Y38C9A
AC006744	Y38C9B
AL110484	Y38E10A
AL032639	Y38F1A
AC024762	Y38F2AL
AC025715	Y38F2AR
AL021179	Y38G4A
AL032628	Y38H6A
AL031631	Y38H6B
AL031630	Y38H6C
AL021483	Y38H8A
AL031633	Y39A1A
AL021482	Y39A1B
AL023839	Y39A1C
AC006747	Y39A3A
AC006748	Y39A3B
AC024763	Y39A3CL
AC024764	Y39A3CM
AC024765	Y39A3CR
AL132948	Y39B6A
AL132859	Y39C12A
AL110489	Y39C12B
AF101314	Y39D8A
AC006749	Y39D8B
AF101313	Y39D8C
AL021480	Y39E4A
AL110487	Y39E4B
AF125450	Y39F10A
AC006750	Y39F10B
AF125452	Y39F10C
AL110482	Y39G8B
AL032634	Y39G8C
AC024766	Y39G10AL
AC025716	Y39G10AR
AC024770	Y39H10A
AF125962	Y39H10B
AC006753	Y40A1A
AL034392	Y40B1A
AL032636	Y40B1B
AC024771	Y40B10A
AF125961	Y40B10B
AC024772	Y40C5A
AC024773	Y40C7A
AC006757	Y40C7B
AL023840	Y40D7A
AC006758	Y40D12A
AF078792	Y40D12A
AC024774	Y40G12A
AL034391	Y40H4A
AL033510	Y40H7A
AL032627	Y41C4A
AC024775	Y41D4A
AC024776	Y41D4B
Z95559	Y41E3
AC006761	Y41G9A
AL032618	Y42A5A
AC006762	Y42G9A
AC025717	Y42H9AL
AC024777	Y42H9AR
AC024778	Y42H9B
AC024779	Y43B11AL
AC025718	Y43B11AM
AC024780	Y43B11AR
AL023838	Y43C5A
AL023841	Y43C5B
AL132846	Y43D4A
AL021176	Y43E12A
Z99271	Y43F4A
AL021481	Y43F4B
Z99272	Y43F4C
AL032640	Y43F8A
AL032623	Y43F8B
AL032637	Y43F8C
AL117199	Y43F11A
AC024781	Y43H11AL
AC024782	Y43H11AR
AL021491	Y44A6B
AL021489	Y44A6C
AL023842	Y44A6D
AL033511	Y44A6E
AF125449	Y44C4A
AF106589	Y44E3A
AC006766	Y44E3B
AF078789	Y44E3B
AL021180	Y44F5A
AL032621	Y45F3A
AL021488	Y45F10A
AL021487	Y45F10B
Z99273	Y45F10C
AL021492	Y45F10D
AC024783	Y45G5AL
AC084155	Y45G5AM
AC024784	Y45G5AR
AC006767	Y45G12A
AC006768	Y45G12B
AC006769	Y45G12C
AC006770	Y46B2A
AC024785	Y46C8AL
AC024786	Y46C8AM
AC024787	Y46C8AR
AC006772	Y46D2A
AC024788	Y46E12A
AC084156	Y46E12BL
AC087080	Y46E12BM
AC084157	Y46E12BR
AL110485	Y46G5A
AC006774	Y46H3A
AC006775	Y46H3B
AC006776	Y46H3C
AC006777	Y46H3D
AC091124	Y47A7
AC024789	Y47C4A
AL117202	Y47D3A
AL031635	Y47D3B
AC024790	Y47D7A
AC006780	Y47D9A
AC024791	Y47G6A
AF125453	Y47G7A
AF099000	Y47G7B
AF125454	Y47G7C
AL031636	Y47H9A
AL031637	Y47H9B
AL032657	Y47H9C
AL132848	Y47H10A
AF125455	Y48A5A
AF125464	Y48A5B
